title,novelid,author,publish_date,category,word_count,score,progress,male_lead_name,female_lead_name
难哄,4001734,竹已,2020-03-17 20:20:17,原创-言情-近代现代-爱情-女主,389931,21186600960,完结,桑延,温以凡
偷偷藏不住,3676002,竹已,2019-01-22 20:19:22,原创-言情-近代现代-爱情-女主,372139,19683762176,完结,段嘉许,桑稚
偏偏宠爱,3694555,藤萝为枝,2018-10-24 00:00:00,原创-言情-近代现代-爱情-女主,336676,11054309376,完结,江忍,孟听
告白,4836678,应橙,2020-11-18 10:00:00,原创-言情-近代现代-爱情-男主,438711,14803734528,完结,周京泽,许随
白日梦我,3525826,栖见,2018-09-18 09:00:00,原创-言情-近代现代-爱情-女主,427269,10067248128,完结,沈倦,林语惊
黑莲花攻略手册[穿书],3631938,白羽摘雕弓,2018-06-25 02:45:24,原创-言情-架空历史-爱情-女主,439427,9505027072,完结,慕声,凌妙妙
她的小梨涡,3070243,唧唧的猫,2017-01-28 13:50:25,原创-言情-近代现代-爱情-女主,257112,13169684480,完结,谢辞,许呦
黑月光拿稳BE剧本（剧集：长月烬明）,4398312,藤萝为枝,2020-07-23 20:00:00,原创-言情-架空历史-奇幻-女主,544621,9185787904,完结,澹台烬,苏苏
坠落,4368324,甜醋鱼,2022-03-19 20:00:00,原创-言情-近代现代-爱情-女主,382658,12210793472,完结,陆西骁,周挽
陷入我们的热恋,3353483,耳东兔子,2021-08-03 19:00:00,原创-言情-近代现代-爱情-女主,478277,14999934976,完结,陈路周,徐栀
错撩,4399698,翘摇,2020-03-11 18:00:00,原创-言情-近代现代-爱情-女主,308988,10655126528,完结,时宴,郑书意
砸锅卖铁去上学,4737103,红刺北,2020-09-21 06:00:00,原创-言情-幻想未来-爱情-女主,1134753,17539700736,完结,应星决,卫三
不二之臣,3651215,不止是颗菜,2019-04-16 19:00:00,原创-言情-近代现代-爱情-女主,335664,11085907968,完结,岑森,季明舒
见春天,6079968,纵虎嗅花,2021-09-05 12:00:00,原创-言情-近代现代-爱情-女主,191449,6175314432,完结,魏清越,江渡
向师祖献上咸鱼,4104036,扶华,2019-04-04 21:02:00,原创-言情-架空历史-仙侠-女主,324717,8186603008,完结,司马焦,廖停雁
穿进赛博游戏后干掉BOSS成功上位,5833245,桉柏,2021-07-26 21:00:00,原创-言情-幻想未来-游戏-女主,1465379,17296054272,完结,亚当,隗辛
满级绿茶穿成小可怜,4403740,春刀寒,2020-02-27 09:02:00,原创-言情-架空历史-爱情-女主,425527,11801553920,完结,宋驚瀾,林非鹿
老婆粉了解一下[娱乐圈],3953941,春刀寒,2018-12-10 20:54:15,原创-言情-近代现代-爱情-女主,570071,11310328832,完结,霍希,盛乔
等风热吻你,3173198,唧唧的猫,2018-02-20 20:00:00,原创-言情-近代现代-爱情-女主,181729,8990793728,完结,许星纯,付雪梨
折月亮,4127360,竹已,2021-12-25 20:00:00,原创-言情-近代现代-爱情-女主,407658,9424591872,完结,傅识则,云厘
黎明前他会归来,3945423,藤萝为枝,2019-01-23 20:00:00,原创-言情-近代现代-爱情-女主,412104,6959316992,完结,裴川,贝瑶
逐夏,5474343,木瓜黄,2022-06-21 22:22:22,原创-言情-近代现代-爱情-女主,341784,9624334336,完结,迟曜,林折夏
恃宠,5878127,臣年,2021-09-08 00:04:00,原创-言情-近代现代-爱情-女主,466113,8849950720,完结,谢砚礼,秦梵
我在废土世界扫垃圾,7114433,有花在野,2022-07-18 20:39:35,原创-言情-幻想未来-剧情-女主,1983056,9027565568,完结,,
长风渡,3415053,墨书白,2019-03-20 00:00:00,原创-言情-架空历史-爱情-女主,978111,7514999808,完结,顾九思,柳玉茹
吻痣,3640502,曲小蛐,2019-07-09 10:00:00,原创-言情-近代现代-爱情-女主,425246,8484030976,完结,商骁,苏荷
小清欢,3130408,云拿月,2017-05-15 15:43:00,原创-言情-近代现代-爱情-女主,225884,5184525312,完结,陈让,齐欢
暗格里的秘密,2697774,耳东兔子,2017-06-25 20:00:00,原创-言情-近代现代-爱情-女主,329121,9068336128,完结,周斯越,丁羡
坤宁,2967663,时镜,2019-06-14 01:49:59,原创-言情-架空历史-爱情-女主,1048142,10235552768,完结,谢危,姜雪宁
白色橄榄树,3324141,玖月晞,2018-07-31 20:00:00,原创-言情-近代现代-爱情-女主,356367,4137110016,完结,李瓒,宋冉
不断作死后我成了白月光,4682400,纪婴,2020-05-28 21:21:21,原创-言情-架空历史-仙侠-女主,780000,10292869120,完结,裴寂,宁宁
草莓印,3587764,不止是颗菜,2018-10-23 18:30:00,原创-言情-近代现代-爱情-女主,434624,8476224000,完结,陆星延,沈星若
星汉灿烂，幸甚至哉,3876247,关心则乱,2018-10-05 08:21:52,原创-言情-架空历史-爱情-女主,1021566,6095653888,完结,凌不疑,程少商
他最野了,3597941,曲小蛐,2019-03-08 10:00:00,原创-言情-近代现代-爱情-女主,485233,7698667520,完结,商彦,苏邈邈
长街,5163285,殊娓,2021-01-18 18:00:00,原创-言情-近代现代-爱情-女主,274062,7077406208,完结,靳浮白,向芋
你听得见,4646292,应橙,2022-06-16 18:56:59,原创-言情-近代现代-爱情-男主,444004,8881975296,完结,班盛,林微夏
重回我爸当校草那几年,3093464,春风榴火,2019-08-08 09:35:00,原创-言情-近代现代-爱情-女主,493157,8816613376,完结,沈括,陆嫣
桃枝气泡,4304184,栖见,2020-12-02 19:00:00,原创-言情-近代现代-爱情-女主,394389,4913569792,完结,江起淮,陶枝
病名为你,3964097,甜醋鱼,2019-04-16 12:00:01,原创-言情-近代现代-爱情-女主,360394,6717135872,完结,江妄,时念念
穿成短命白月光后，和反派HE了,4264815,青花燃,2019-10-24 21:00:01,原创-言情-架空历史-奇幻-女主,648758,7497180672,完结,幽无命,桑远远
攻玉,3167385,凝陇,2020-06-17 08:30:00,原创-言情-架空历史-奇幻-女主,1157438,11334913024,完结,蔺承佑,滕玉意
以你为名的夏天,4648798,任凭舟,2022-02-16 09:06:06,原创-言情-近代现代-爱情-女主,430603,3605097472,完结,张澍,盛夏
狂恋你,4053327,甜醋鱼,2020-03-25 21:00:00,原创-言情-近代现代-爱情-女主,470962,7854459904,完结,林清野,许知喃
退烧,3962293,舒虞,2020-02-03 20:04:00,原创-言情-近代现代-爱情-女主,389404,5958732800,完结,沈屹西,路无坷
小豆蔻,3472688,不止是颗菜,2020-03-31 20:00:00,原创-言情-架空历史-爱情-女主,397287,7074035200,完结,江绪,明檀
他和她的猫,3006351,唧唧的猫,2016-11-28 16:05:18,原创-言情-近代现代-爱情-女主,173452,6448857088,完结,周荡,书佳
他那么撩,3370149,曲小蛐,2018-01-04 16:30:00,原创-言情-近代现代-爱情-女主,364405,6334895104,完结,闻煜风,秦晴
没有人像你,4174255,岁见,2020-05-05 09:00:00,原创-言情-近代现代-爱情-女主,295428,6010567680,完结,陈屹,阮眠
顶流夫妇有点甜,4912351,图样先森,2021-04-23 00:00:00,原创-言情-近代现代-爱情-女主,488871,8063473152,完结,宋砚,温荔
守寡后我重生了,7322952,笑佳人,2022-09-16 09:37:28,原创-言情-架空历史-爱情-女主,731195,9131636736,完结,陈敬宗,华阳
女主都和男二HE,3892755,扶华,2018-10-12 22:00:00,原创-言情-架空历史-奇幻-女主,678489,6078246912,完结,,
不要乱碰瓷,5198091,红刺北,2021-08-24 06:00:00,原创-言情-架空历史-奇幻-女主,734616,9173188608,完结,游伏时,叶素
在冷漠的他怀里撒个娇,3406331,春风榴火,2019-03-14 00:00:00,原创-言情-近代现代-爱情-女主,449325,7763549696,完结,谢随,寂白
他的小仙女,3462831,磨磨,2018-01-19 19:01:00,原创-言情-近代现代-爱情-女主,308055,3122022144,完结,陈述,安静
玫瑰挞,3691664,栖见,2019-04-30 18:00:00,原创-言情-近代现代-爱情-女主,335969,4266372096,完结,陈妄,孟婴宁
观鹤笔记,4727146,她与灯,2020-11-28 21:15:19,原创-言情-架空历史-爱情-女主,566731,4080729344,完结,邓瑛,杨婉
天才基本法,3193259,长洱,2017-08-02 15:10:48,原创-言情-近代现代-爱情-女主,760938,7404168192,完结,裴之,林朝夕
那个不为人知的故事,2112797,Twentine,2014-05-02 22:53:20,原创-言情-近代现代-爱情-女主,281584,3206285312,完结,陈铭生,杨昭
她来听我的演唱会,4718128,翘摇,2022-03-23 18:00:00,原创-言情-近代现代-爱情-女主,319599,7327743488,完结,令琛,祝温书
别哭,3875766,曲小蛐,2020-02-11 09:00:00,原创-言情-近代现代-爱情-女主,398962,7196088320,完结,骆湛,唐染
有匪,2595385,priest,2015-11-15 21:05:00,原创-言情-架空历史-武侠-女主,717476,6826350592,完结,谢允,周翡
女配不想让主角分手[穿书],4686886,漆瞳,2020-05-24 13:22:28,原创-言情-架空历史-奇幻-女主,311590,5533371392,完结,谢无衍,沈挽情
攻略男配的正确方法,5631345,欠金三两,2021-03-26 09:32:35,原创-言情-架空历史-爱情-女主,456192,4058606592,完结,路之遥,李弱水
嫁反派,5562822,布丁琉璃,2022-01-20 03:00:01,原创-言情-架空历史-爱情-女主,441194,5365715456,完结,宁殷,虞灵犀
月明千里,3677070,罗青梅,2020-01-08 14:30:00,原创-言情-架空历史-爱情-女主,1011803,5604696064,完结,昙摩罗伽,李瑶英
第二十八年春,3002507,耳东兔子,2018-03-19 20:00:00,原创-言情-近代现代-爱情-女主,404109,7739976704,完结,陆怀征,于好
蝴蝶与鲸鱼,6069768,岁见,2022-01-01 00:00:00,原创-言情-近代现代-爱情-女主,83299,5532859904,完结,荆逾,胡蝶
深情眼,3980031,耳东兔子,2020-01-01 19:00:00,原创-言情-近代现代-爱情-女主,373711,8160639488,完结,李靳屿,叶濛
他笑时风华正茂,2759309,舒远,2016-12-10 12:00:00,原创-言情-近代现代-爱情-女主,240230,3060682496,完结,池铮,孟盛楠
女寝大逃亡[无限],5164568,火茶,2021-01-01 12:00:00,原创-言情-幻想未来-剧情-女主,937895,6477818880,完结,,
除我之外，全员主角,6467397,从温,2022-08-09 21:00:00,原创-言情-架空历史-仙侠-女主,749247,5012347904,完结,云止风,宋南时
她病得不轻,3076116,竹已,2017-04-26 22:05:27,原创-言情-近代现代-爱情-女主,200790,5447975424,完结,张陆让,苏在在
夫君位极人臣后,5298995,维和粽子,2021-08-04 00:00:02,原创-言情-架空历史-爱情-女主,571009,6997556736,完结,陆无忧,贺兰瓷
她作死向来很可以的[穿书],5213844,撕枕犹眠,2021-12-07 15:00:00,原创-言情-幻想未来-爱情-女主,1181009,9739268096,完结,杨不弃,徐徒然
奶油味暗恋,3311357,竹已,2018-01-16 20:00:00,原创-言情-近代现代-爱情-女主,315714,5716809728,完结,许放,林兮迟
如果月亮不抱你,3526012,六盲星,2018-07-02 12:00:00,原创-言情-近代现代-爱情-女主,266959,4634630656,完结,言行之,岑宁
和男主同归于尽后,5344400,画七,2022-03-14 06:00:01,原创-言情-架空历史-仙侠-女主,647826,3595069696,完结,溯侑,薛妤
娱乐圈是我的[重生],4177857,春刀寒,2019-10-16 00:00:01,原创-言情-近代现代-爱情-女主,634323,7206981120,完结,岑风,许摘星
第九农学基地,6766571,红刺北,2022-08-09 09:09:09,原创-言情-幻想未来-剧情-女主,731133,9630795776,完结,叶长明,赵离浓
只要你,5368164,九兜星,2022-06-07 09:00:00,原创-言情-近代现代-爱情-女主,473729,4892338688,完结,陈忌,周芙
他很撩很宠,3326078,藤萝为枝,2017-09-18 00:00:00,原创-言情-近代现代-爱情-女主,246018,3771667456,完结,陆执,宁蓁
山河枕,3397298,墨书白,2018-05-17 20:00:00,原创-言情-架空历史-爱情-女主,834933,4982007296,完结,卫韫,楚瑜
你是迟来的欢喜,3159418,顾了之,2018-05-21 20:03:32,原创-言情-近代现代-爱情-女主,261606,5201387520,完结,许淮颂,阮喻
奇怪的先生们,4737660,扶华,2020-05-15 21:00:00,原创-言情-架空历史-爱情-女主,786038,6278845952,完结,,
春枝秋雨,3498401,帘十里,2018-09-21 03:31:00,原创-言情-近代现代-爱情-女主,255832,2594419200,完结,梁嘉泓,叶絮
可爱多少钱一斤,1768376,栖见,2017-12-12 12:00:00,原创-言情-近代现代-爱情-女主,336134,3628074496,完结,陆嘉珩,初栀
十三幺,3553682,云拿月,2018-06-19 14:05:13,原创-言情-近代现代-爱情-女主,185480,3270386688,完结,陈许泽,周窈
他从火光中走来,2905411,耳东兔子,2016-12-06 20:00:00,原创-言情-近代现代-爱情-女主,335653,6375618560,完结,林陆骁,南初
是心跳说谎,4590915,唧唧的猫,2020-11-03 20:00:00,原创-言情-近代现代-爱情-女主,330722,5928974336,完结,陈逾征,余诺
敬山水,5540013,别四为,2021-05-05 21:00:00,原创-言情-近代现代-爱情-女主,164608,2574277376,完结,徐正清,简幸
换嫁春风,8711297,明春鸢,2024-04-01 12:00:00,原创-言情-架空历史-爱情-女主,677980,6362780672,完结,崔珏,纪明遥
我的新郎逃婚了,4092467,喝口雪碧,2020-12-23 00:00:00,原创-言情-近代现代-爱情-女主,323449,3520847872,完结,程越霖,阮芷音
你别撒娇了,3517773,甜醋鱼,2019-07-31 21:00:01,原创-言情-近代现代-爱情-女主,454936,5231290880,完结,许宁青,常梨
三分野,3583628,耳东兔子,2018-12-11 20:00:00,原创-言情-近代现代-爱情-女主,427589,7885922816,完结,徐燕时,向园
偏执男主白月光我不当了,4425292,赵史觉,2020-04-01 00:30:00,原创-言情-近代现代-爱情-女主,445452,5971982848,完结,陆缜,楚殷
灭了天道后我成了死对头的师妹,4436741,归山玉,2020-04-05 18:00:00,原创-言情-架空历史-仙侠-女主,448115,3966899712,完结,越良泽,铃萝
神明今夜想你,4085610,藤萝为枝,2019-06-06 18:00:00,原创-言情-近代现代-爱情-女主,317367,3715102464,完结,驰厌,姜穗
掌中娇,4182316,甜醋鱼,2019-11-19 21:00:00,原创-言情-近代现代-爱情-女主,486818,5635694080,完结,闻梁,陈喋
残疾王爷站起来了,9275380,笑佳人,2024-11-06 11:33:03,原创-言情-架空历史-爱情-女主,696573,9053704192,完结,惠王,姚黄
