title,novelid,author,publish_date,category,word_count,score,progress,gong_name,shou_name
天官赐福,3200611,墨香铜臭,2017-06-16 18:01:18,原创-纯爱-架空历史-爱情-主受,1093083,72848867328,完结,花城,谢怜
某某,3173202,木苏里,2019-08-07 18:56:00,原创-纯爱-近代现代-爱情-主受,438115,46053359616,完结,江添,盛望
全球高考,3419133,木苏里,2018-10-10 20:03:00,原创-纯爱-近代现代-剧情-主受,589514,42619125760,完结,秦究,游惑
破云,3395943,淮上,2017-12-15 12:36:06,原创-纯爱-近代现代-悬疑-主受,817354,35873734656,完结,严峫,江停
伪装学渣,3190033,木瓜黄,2017-12-26 22:22:22,原创-纯爱-近代现代-爱情-主受,384507,21258911744,完结,贺朝,谢俞
撒野,2956313,巫哲,2016-10-30 10:30:00,原创-纯爱-近代现代-爱情-互攻,899776,30859716608,完结,,
我在无限游戏里封神,4218910,壶鱼辣椒,2020-06-24 18:00:00,原创-纯爱-近代现代-爱情-主受,2573738,25428895744,完结,塔维尔,白柳
我喜欢你的信息素,3935896,引路星,2019-05-14 19:00:00,原创-纯爱-近代现代-爱情-主受,344003,20214538240,完结,路星辞,段嘉衍
AWM[绝地求生],3468871,漫漫何其多,2018-01-24 20:09:08,原创-纯爱-近代现代-爱情-主攻,330466,24924770304,完结,祁醉,于炀
放学等我,5555568,酱子贝,2022-01-04 20:00:00,原创-纯爱-近代现代-爱情-主受,386520,35194773504,完结,陈景深,喻繁
默读,2771073,priest,2016-06-15 11:00:00,原创-纯爱-近代现代-悬疑-主受,824288,18534926336,完结,骆闻舟,费渡
魔道祖师,2368172,墨香铜臭,2015-10-31 19:15:00,原创-纯爱-架空历史-爱情-主受,691111,31683037184,完结,蓝忘机,魏无羡
死亡万花筒,3435320,西子绪,2018-01-12 09:10:00,原创-纯爱-近代现代-爱情-主受,857083,35432361984,完结,阮南烛,林秋石
我行让我上[电竞],4404708,酱子贝,2020-06-28 10:00:00,原创-纯爱-近代现代-爱情-主受,539391,40747630592,完结,路柏沅,简茸
判官,3515679,木苏里,2020-04-27 22:38:38,原创-纯爱-近代现代-奇幻-主受,539210,37049507840,完结,谢问,闻时
破云2吞海,3617495,淮上,2019-05-10 16:25:13,原创-纯爱-近代现代-悬疑-不明,855167,34597773312,完结,步重华,吴雩
小蘑菇,4105840,一十四洲,2019-10-17 06:00:00,原创-纯爱-幻想未来-科幻-主受,313923,21972807680,完结,陆沨,安折
将进酒,3373718,唐酒卿,2018-10-01 19:00:00,原创-纯爱-架空历史-爱情-主受,1041869,22363856896,完结,萧驰野,沈泽川
FOG[电竞],3949858,漫漫何其多,2019-07-30 10:15:15,原创-纯爱-近代现代-爱情-不明,510136,22680541184,完结,余邃,时洛
我只喜欢你的人设[娱乐圈],3828175,稚楚,2018-11-10 22:00:00,原创-纯爱-近代现代-爱情-主受,624200,19071531008,完结,周自珩,夏习清
杀破狼,2322969,priest,2015-01-23 20:00:00,原创-纯爱-架空历史-爱情-主受,655752,12863716352,完结,长庚,顾昀
营业悖论[娱乐圈],4313777,稚楚,2020-01-29 21:00:00,原创-纯爱-近代现代-爱情-主受,666343,22879281152,完结,裴听颂,方觉夏
当年万里觅封侯,3566040,漫漫何其多,2018-08-26 12:30:00,原创-纯爱-架空历史-爱情-主受,382080,17841825792,完结,郁赦,钟宛
迪奥先生,3426127,绿野千鹤,2018-01-16 11:30:00,原创-纯爱-近代现代-爱情-主受,314212,16415460352,完结,张臣扉,焦栖
地球上线,3377217,莫晨欢,2017-11-15 10:00:00,原创-纯爱-近代现代-爱情-主受,1341652,21246971904,完结,傅闻夺,唐陌
可爱过敏原,4004322,稚楚,2020-08-11 21:01:11,原创-纯爱-近代现代-爱情-主受,559247,16577177600,完结,宋煜,乐知时
烈火浇愁,3886659,priest,2018-12-31 18:00:00,原创-纯爱-近代现代-奇幻-主受,783098,22372569088,完结,宣玑,盛灵渊
不要在垃圾桶里捡男朋友[快穿],3511075,骑鲸南去,2018-05-02 02:22:22,原创-纯爱-近代现代-爱情-主受,1369880,20852492288,完结,段书绝,池小池
洄天,6605448,淮上,2022-12-17 08:07:43,原创-纯爱-近代现代-奇幻-不明,709033,24543397888,完结,白晟,沈酌
这题超纲了,4321268,木瓜黄,2019-12-23 20:00:00,原创-纯爱-近代现代-爱情-主受,419370,13217531904,完结,邵湛,许盛
两A相逢必有一O,4139466,厉冬忍,2019-10-10 10:10:10,原创-纯爱-近代现代-爱情-主受,444590,12794233856,完结,柏淮,简松意
不见上仙三百年,5019646,木苏里,2021-11-30 21:02:30,原创-纯爱-架空历史-爱情-主受,533344,25461276672,完结,萧复暄,乌行雪
人渣反派自救系统,2228486,墨香铜臭,2014-09-21 20:10:32,原创-纯爱-架空历史-爱情-主受,432198,17534074880,完结,洛冰河,沈清秋
碎玉投珠,3409200,北南,2018-01-10 19:30:00,原创-纯爱-近代现代-爱情-不明,314331,12443313152,完结,丁汉白,纪慎语
我喜欢你男朋友很久了,4500141,酱子贝,2020-01-17 18:04:26,原创-纯爱-近代现代-爱情-主受,137890,16270926848,完结,严准,裴然
一级律师[星际],2674286,木苏里,2017-11-23 14:00:00,原创-纯爱-幻想未来-传奇-主受,753025,17723396096,完结,顾晏,燕绥之
残次品,3121357,priest,2017-04-05 11:00:00,原创-纯爱-幻想未来-传奇-主受,989052,14101881856,完结,陆必行,林静恒
镇魂,1673146,priest,2012-11-28 22:23:41,原创-纯爱-近代现代-爱情-主受,465951,9230152704,完结,沈巍,赵云澜
轻狂,3677929,巫哲,2018-10-15 10:10:10,原创-纯爱-近代现代-爱情-互攻,603363,19500005376,完结,,
嚣张,4036206,巫哲,2019-05-31 19:40:00,原创-纯爱-近代现代-爱情-主攻,545594,19906549760,完结,林无隅,丁霁
BE狂魔求生系统[快穿],3617319,稚楚,2018-06-13 08:48:28,原创-纯爱-近代现代-爱情-主受,596501,12526502912,完结,夏知许,许其琛
无限练习生,4665570,妄鸦,2020-10-31 00:00:00,原创-纯爱-近代现代-剧情-主受,945205,14623741952,完结,恶魔,宗九
犯罪心理,2575714,长洱,2015-10-14 00:48:00,原创-纯爱-近代现代-悬疑-主受,1240003,11159519232,完结,刑从连,林辰
这该死的求生欲[穿书],5493500,望三山,2021-06-12 23:38:08,原创-纯爱-近代现代-爱情-主受,946031,14228231168,完结,池尤,江落
网恋翻车指南,4074715,酱子贝,2019-08-11 19:00:00,原创-纯爱-近代现代-爱情-主受,440871,17631490048,完结,向淮之,景欢
别来无恙,3535685,北南,2019-01-01 12:00:00,原创-纯爱-近代现代-爱情-不明,396342,13499773952,完结,顾拙言,庄凡心
剑名不奈何,4918054,淮上,2020-12-24 16:25:53,原创-纯爱-架空历史-仙侠-不明,543266,15818514432,完结,徐霜策,宫惟
我死对头终于破产了,3932004,酱子贝,2019-03-11 20:00:00,原创-纯爱-近代现代-爱情-主受,429794,13060338688,完结,秦满,纪燃
解药,3514176,巫哲,2018-03-30 10:10:00,原创-纯爱-近代现代-爱情-互攻,589362,17023286272,完结,,
全球进化后我站在食物链顶端,3858172,七流,2021-05-04 00:27:27,原创-纯爱-幻想未来-剧情-主受,614508,10416777216,完结,唐寻安,陆言
三嫁咸鱼,4735894,比卡比,2021-07-20 12:00:00,原创-纯爱-架空历史-爱情-主受,507294,11751786496,完结,陆晚丞,林清羽
兼职无常后我红了,4398357,拉棉花糖的兔子,2020-03-04 20:00:00,原创-纯爱-近代现代-轻小说-主受,607972,16748241920,完结,宋浮檀,兰菏
悬日,5159221,稚楚,2022-06-25 20:52:00,原创-纯爱-近代现代-爱情-双视角,573822,14302513152,完结,宁一宵,苏洄
铜钱龛世,2779185,木苏里,2016-10-15 17:30:00,原创-纯爱-架空历史-奇幻-主受,394108,13510926336,完结,玄悯,薛闲
不死者,3165753,淮上,2017-04-19 18:00:37,原创-纯爱-近代现代-爱情-主受,395649,12179192832,完结,周戎,司南
万有引力[无限流],4444753,骑鲸南去,2020-08-28 18:00:00,原创-纯爱-近代现代-爱情-主受,1331753,11922659328,完结,江舫,南舟
PUBG世纪网恋,3597194,酱子贝,2018-10-18 21:05:00,原创-纯爱-近代现代-爱情-主受,430796,12858138624,完结,易琛,喻延
江医生他怀了死对头的崽,6423167,葫芦酱,2021-12-29 21:00:00,原创-纯爱-近代现代-爱情-主受,417516,6079990784,完结,沈方煜,江叙
我五行缺你,3146241,西子绪,2017-06-10 10:00:00,原创-纯爱-近代现代-爱情-主受,776165,17754234880,完结,林逐水,周嘉鱼
六爻,2134415,priest,2014-06-13 20:05:03,原创-纯爱-架空历史-传奇-主受,538962,8768237568,完结,严争鸣,程潜
你的雪人能活多久,9338905,稚楚,2025-01-09 20:55:03,原创-纯爱-近代现代-爱情-双视角,505842,18963763200,完结,傅让夷,祝知希
偷风不偷月,5658906,北南,2022-05-16 19:10:00,原创-纯爱-近代现代-爱情-主受,465582,6714983936,完结,沈若臻,项明章
我靠美颜稳住天下,4693139,望三山,2020-07-15 09:00:00,原创-纯爱-架空历史-爱情-主受,689595,9580140544,完结,薛远,顾元白
穿成万人迷的炮灰竹马,4285983,妾在山阳,2019-08-03 16:08:34,原创-纯爱-近代现代-爱情-主受,406703,8987795456,完结,谢绥,宋喻
小行星,4092446,微风几许,2019-08-16 18:00:00,原创-纯爱-幻想未来-爱情-主受,414285,8267170816,完结,凌澈,许棠舟
君有疾否,2862999,如似我闻,2016-07-25 21:14:07,原创-纯爱-架空历史-爱情-不明,326612,2248444160,完结,楚明允,苏世誉
危险人格,4561852,木瓜黄,2020-12-29 20:00:00,原创-纯爱-近代现代-爱情-主受,569059,9250173952,完结,解临,池青
仙道第一小白脸,3579388,一十四洲,2018-07-20 06:00:00,原创-纯爱-架空历史-仙侠-主受,651701,9778108416,完结,萧韶,林疏
灵异片演员app[无限],4433021,戏子祭酒,2020-02-19 06:00:00,原创-纯爱-近代现代-剧情-主受,744775,11885914112,完结,谢星阑,谢池
臣好柔弱啊,5002936,马户子君,2023-01-04 09:00:00,原创-纯爱-架空历史-爱情-主受,357925,10784918528,完结,李无廷,宁如深
薄雾［无限］,4357146,微风几许,2020-02-21 12:00:00,原创-纯爱-幻想未来-爱情-主受,432403,8942727168,完结,宋晴岚,季雨时
天涯客,912073,priest,2010-10-07 17:00:00,原创-纯爱-架空历史-爱情-主受,298617,7031577088,完结,温客行,周子舒
影帝,3039244,漫漫何其多,2017-01-28 11:40:00,原创-纯爱-近代现代-爱情-主受,301842,10012515328,完结,叶阑,江池
一个钢镚儿,3278715,巫哲,2017-08-13 10:10:00,原创-纯爱-近代现代-爱情-互攻,675338,14503774208,完结,,
一觉醒来听说我结婚了,2976928,木瓜黄,2017-02-02 22:22:22,原创-纯爱-近代现代-爱情-主受,468782,6940549632,完结,顾延舟,邵司
穿成反派的我靠沙雕苟活,4638917,马户子君,2020-09-17 09:00:00,原创-纯爱-近代现代-爱情-主受,317544,7874843648,完结,苏持,苏徊意
非职业半仙,3142301,拉棉花糖的兔子,2018-01-03 20:00:00,原创-纯爱-近代现代-轻小说-主受,687974,13264128000,完结,施长悬,谢灵涯
魔尊他念念不忘,5262874,墨西柯,2021-01-28 18:18:18,原创-纯爱-架空历史-仙侠-主受,487704,8079993344,完结,奚淮,池牧遥
提灯映桃花,2555721,淮上,2015-09-25 18:22:00,原创-纯爱-近代现代-爱情-主受,490608,9123738624,完结,周晖,楚河
沙雕攻他重生了,5139246,多金少女猫,2020-11-17 18:00:01,原创-纯爱-近代现代-爱情-主受,435728,7783956992,完结,秦钟越,谢重星
